NCBI accession	species	subs	BUSCO_complete_single_copy	family	order	oskar_accessions	blondel_oskar_count	oskar_present	iq_tree_label	GC_mech
GCF_950023065.1	Planococcus citri		88.2	Pseudococcidae	Hemiptera		0.0	False	Planococcus_citri	IND
GCA_039877355.1	Pyrrhocoris apterus		57.2	Pyrrhocoridae	Hemiptera		0.0	False	Pyrrhocoris_apterus	IND
GECK01.1	Rhodnius prolixus		91.4	Reduviidae	Hemiptera		0.0	False	Rhodnius_prolixus	IND
GCF_023897955.1	Schistocerca gregaria		95.7	Acrididae	Orthoptera			False	Schistocerca_gregaria	IND
GCF_002938485.1	Sitophilus oryzae		96.7	Curculionidae	Coleoptera	{'XP_030756107.1'}	1.0	True	Sitophilus_oryzae	GP
GCF_963082655.1	Stomoxys calcitrans		96.5	Muscidae	Diptera	{'XP_013106491.2'}	2.0	True	Stomoxys_calcitrans	GP
GCF_963966145.1	Tenebrio molitor		98.3	Tenebrionidae	Coleoptera			False	Tenebrio_molitor	IND
GASN02.1	Thermobia domestica		62.3	Lepismatidae	Zygentoma		0.0	False	Thermobia_domestica	IND
GCF_031307605.1	Tribolium castaneum		98.7	Tenebrionidae	Coleoptera		0.0	False	Tribolium_castaneum	IND
GCA_029207805.1	Tribolium confusum		59.5	Tenebrionidae	Coleoptera			False	Tribolium_confusum	IND
GBMC01.1	Trichogramma evanescens		70.4	Trichogrammatidae	Hymenoptera	{'GBMC01.1;GBMC01011982.1.p1'}	1.0	True	Trichogramma_evanescens	GP
GCF_040183065.1	Periplaneta americana	{'Blatta orientalis'}	96.8	Blattidae	Blattodea	{'XP_069700099.1'}	2.0	True	Blattidae	IND
GCXH01.1	Ischnodemus falicus	{'Blissus leucopterus hirtus'}	72.1	Blissidae	Hemiptera		0.0	False	Blissidae	IND
GAYK02.1	Boreus hyemalis	{'Boreus westwoodi'}	69.3	Boreidae	Mecoptera		1.0	True	Boreidae	IND
GDPI01.1	Elaphrus aureus	{'Carabus insulicola'}	73.1	Carabidae	Coleoptera	{'GDPI01.1;GDPI01010195.1.p1'}	1.0	True	Carabidae	IND
GCA_018290095.1	Polypedilum vanderplanki	{'Smittia sp.', 'Chironomus confinis', 'Chironomus sp.'}	95.4	Chironomidae	Diptera			False	Chironomidae	GP
GDLH01.1	Cybister lateralimarginalis	{'Hydaticus pacificus'}	66.5	Dytiscidae	Coleoptera		0.0	False	Dytiscidae	IND
GCA_902825455.1	Arctia plantaginis	{'Amata fortunei', 'Spilosoma virginica'}	92.3	Erebidae	Lepidoptera		0.0	False	Erebidae	IND
GAUY02.1	Gyrinus marinus	{'Dineutus mellyi'}	62.6	Gyrinidae	Coleoptera		0.0	False	Gyrinidae	IND
GEOO01.1	Phymatopus californicus	{'Endoclita signifer'}	69.8	Hepialidae	Lepidoptera		0.0	False	Hepialidae	IND
GCF_019457755.1	Venturia canescens	{'Pimpla turionellae', 'Cosmoconus meridionator', 'Lissonota catenator'}	98.8	Ichneumonidae	Hymenoptera	{'XP_043269694.1'}		True	Ichneumonidae	GP
GCA_035610365.1	Aquatica leii	{'Nipponoluciola cruciata', 'Aquatica lateralis', 'Pyrocoelia rufa', 'Hotaria parvula'}	93.2	Lampyridae	Coleoptera			False	Lampyridae	IND
GFEG01.1	Embidopsocus sp. EmspLi2	{'Liposcelis divergens'}	77.3	Liposcelididae	Psocoptera			False	Liposcelididae	IND
HBDP01.1	Machilis pallida	{'Petrobius brevistylis'}	76.4	Machilidae	Archaeognatha			False	Machilidae	IND
GASW02.1	Mantis religiosa	{'Rhombodera crassa'}	53.9	Mantidae	Mantodea		0.0	False	Mantidae	IND
GATA02.1	Meloe violaceus	{'Lytta viridana'}	65.8	Meloidae	Coleoptera		0.0	False	Meloidae	IND
GAUH02.1	Panorpa vulgaris	{'Panorpa pryeri'}	59.9	Panorpidae	Mecoptera		1.0	True	Panorpidae	GP
GCF_028537555.1	Battus philenor	{'Byasa alcinous alcinous', 'Luehdorfia japonica', 'Parnassius glacialis'}	99.4	Papilionidae	Lepidoptera			False	Papilionidae	IND
GCYQ01.1	Phlaeothripidae sp. AD-2014	{'Haplothrips verbasci', 'Bactrothrips brevitubus'}	62.4	Phlaeothripidae	Thysanoptera	{'GCYQ01.1;GCYQ01052767.1.p1'}	1.0	True	Phlaeothripidae	GP
GCTV01.1	Sialis fuliginosa	{'Sialis mitsuhashii okamoto'}	66.7	Sialidae	Megaloptera			False	Sialidae	IND
GDRS01.1	Stenopsychodes sp. AD-2015	{'Stenopsyche griseipennis'}	54.2	Stenopsychidae	Trichoptera	{'GDRS01.1;GDRS01002278.1.p1'}		True	Stenopsychidae	IND
GAWW02.1	Tenthredo koehleri	{'Nematus ribesii'}	79.9	Tenthredinidae	Hymenoptera	{'GAWW02.1;GAWW02024808.1.p1'}	1.0	True	Tenthredinidae	IND
GCF_040414725.1	Anabrus simplex	{'Conocephalus brevipennis'}	96.3	Tettigoniidae	Orthoptera	{'XP_068087189.1'}		True	Tettigoniidae	IND
GDPF01.1	Megasternum obscurum 	{'Hydrophilus piceus'}	68.4	Hydrophilidae	Coleoptera			False	Hydrophilidae	IND
GCF_000648695.1	Onthophagus taurus	{'Phyllophaga fervida'}	96.4	Scarabaeidae	Coleoptera		0.0	False	Scarabaeidae	IND
