NCBI accession,species,family,order,class,phylum,sub_species 1,sub_species 2,sub_species 3,sub_species 4,iq_tree_label,data_type,BUSCO,GC_mech,GC_timing,Germ_band
GCF_002938485.1,Sitophilus oryzae,Curculionidae,Coleoptera,Insecta,Arthropoda,,,,,Sitophilus_oryzae,annotated_genome,96.7,GP,1.0,short
GCF_963082655.1,Stomoxys calcitrans,Muscidae,Diptera,Insecta,Arthropoda,,,,,Stomoxys_calcitrans,annotated_genome,96.5,GP,1.0,long
GCA_000239455.1,Strigamia maritima,Linotaeniidae,Geophilomorpha,Chilopoda,Arthropoda,,,,,Strigamia_maritima,unannotated_genome,88.8,IND,2.0,
GCF_963966145.1,Tenebrio molitor,Tenebrionidae,Coleoptera,Insecta,Arthropoda,,,,,Tenebrio_molitor,annotated_genome,98.3,IND,2.0,short
GCF_000239435.1,Tetranychus urticae,Tetranychidae,Trombidiformes,Arachnida,Arthropoda,,,,,Tetranychus_urticae,annotated_genome,83.3,GP,1.0,
GAXI02.1,Tetrodontophora bielanensis,Onychiuridae,Poduromorpha,Collembola,Arthropoda,,,,,Tetrodontophora_bielanensis,TSA,61.5,GP,1.0,
GASN02.1,Thermobia domestica,Lepismatidae,Zygentoma,Insecta,Arthropoda,,,,,Thermobia_domestica,TSA,62.3,IND,3.0,short
GCF_031307605.1,Tribolium castaneum,Tenebrionidae,Coleoptera,Insecta,Arthropoda,,,,,Tribolium_castaneum,annotated_genome,98.7,IND,2.0,short
GCA_029207805.1,Tribolium confusum,Tenebrionidae,Coleoptera,Insecta,Arthropoda,,,,,Tribolium_confusum,unannotated_genome,96.6,IND,2.0,
GBMC01.1,Trichogramma evanescens,Trichogrammatidae,Hymenoptera,Insecta,Arthropoda,,,,,Trichogramma_evanescens,TSA,70.4,GP,1.0,long
GCAT01.1,Triops cancriformis,Triopsidae,Notostraca,Branchiopoda,Arthropoda,Triops granarius,Triops longicaudatus,,,Triopsidae,TSA,75.9,IND,3.0,
GCA_021730765.1,Tyrophagus putrescentiae,Acaridae,Sarcoptiformes,Arachnida,Arthropoda,Acarus siro,,,,Acaridae,annotated_genome,85.5,IND,3.0,
IBOG01.1,Tegenaria domestica,Agelenidae,Araneae,Arachnida,Arthropoda,Agelena labyrinthica,,,,Agelenidae,TSA,64.2,IND,3.0,
GCF_032884065.1,Artemia franciscana,Artemiidae,Anostraca,Branchiopoda,Arthropoda,Artemia salina,,,,Artemiidae,annotated_genome,84.5,IND,3.0,
GCF_040183065.1,Periplaneta americana,Blattidae,Blattodea,Insecta,Arthropoda,Blatta orientalis,,,,Blattidae,annotated_genome,96.8,IND,2.0,
GCXH01.1,Ischnodemus falicus,Blissidae,Hemiptera,Insecta,Arthropoda,Blissus leucopterus hirtus,,,,Blissidae,TSA,72.1,IND,2.0,
GAYK02.1,Boreus hyemalis,Boreidae,Mecoptera,Insecta,Arthropoda,Boreus westwoodi,,,,Boreidae,TSA,69.3,IND,,short
GJFL01.1,Calanus helgolandicus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Calanus finmarchicus,,,,Calanidae,TSA,79.8,IND,3.0,
GDPI01.1,Elaphrus aureus,Carabidae,Coleoptera,Insecta,Arthropoda,Carabus insulicola,,,,Carabidae,TSA,73.1,IND,,
GCA_018290095.1,Polypedilum vanderplanki,Chironomidae,Diptera,Insecta,Arthropoda,Chironomus sp.,Chironomus confinis,Smittia sp.,,Chironomidae,annotated_genome,95.4,GP,1.0,
GCA_905338395.1,Cyprideis torosa,Cytherideidae,Podocopida,Ostracoda,Arthropoda,,,,,Cytherideidae,annotated_genome,61.5,IND,,
GCIW01.1,Hemidiaptomus amblyodon,Diaptomidae,Calanoida,Hexanauplia,Arthropoda,Diaptomus coeruleus,,,,Diaptomidae,TSA,58.1,IND,2.0,
GDLH01.1,Cybister lateralimarginalis,Dytiscidae,Coleoptera,Insecta,Arthropoda,Hydaticus pacificus,,,,Dytiscidae,TSA,66.5,IND,,
GCA_902825455.1,Arctia plantaginis,Erebidae,Lepidoptera,Insecta,Arthropoda,Spilosoma virginica,Amata fortunei,,,Erebidae,annotated_genome,92.3,IND,2.0,
GHHU01.1,Gammarus lacustris,Gammaridae,Amphipoda,Malacostraca,Arthropoda,Gammarus pulex,,,,Gammaridae,TSA,58.4,IND,3.0,
GESA01.1,Haploglomeris multistriata,Glomeridae,Glomerida,Diplopoda,Arthropoda,Glomeris marginata,,,,Glomeridae,TSA,72.3,IND,3.0,
GAUY02.1,Gyrinus marinus,Gyrinidae,Coleoptera,Insecta,Arthropoda,Dineutus mellyi,,,,Gyrinidae,TSA,62.6,IND,,
GEOO01.1,Phymatopus californicus,Hepialidae,Lepidoptera,Insecta,Arthropoda,Endoclita signifer,,,,Hepialidae,TSA,69.8,IND,2.0,
GCF_019457755.1,Venturia canescens,Ichneumonidae,Hymenoptera,Insecta,Arthropoda,Lissonota catenator,Pimpla turionellae,Cosmoconus meridionator,,Ichneumonidae,annotated_genome,98.8,GP,1.0,
GCA_035610365.1,Aquatica leii,Lampyridae,Coleoptera,Insecta,Arthropoda,Nipponoluciola cruciata,Pyrocoelia rufa,Aquatica lateralis,Hotaria parvula,Lampyridae,annotated_genome,93.2,IND,,
GJCT01.1,Chondrochelia sp. R27,Leptocheliidae,Tanaidacea,Malacostraca,Arthropoda,Heterotanis oerstedi,,,,Leptocheliidae,TSA,51.5,IND,,
GFEG01.1,Embidopsocus sp. EmspLi2,Liposcelididae,Psocoptera,Insecta,Arthropoda,Liposcelis divergens,,,,Liposcelididae,TSA,77.3,IND,2.0,
HBDP01.1,Machilis pallida,Machilidae,Archaeognatha,Insecta,Arthropoda,Petrobius brevistylis,,,,Machilidae,TSA,76.4,IND,3.0,short
GASW02.1,Mantis religiosa,Mantidae,Mantodea,Insecta,Arthropoda,Rhombodera crassa,,,,Mantidae,TSA,53.9,IND,3.0,
GATA02.1,Meloe violaceus,Meloidae,Coleoptera,Insecta,Arthropoda,Lytta viridana,,,,Meloidae,TSA,65.8,IND,2.0,
GKMB01.1,Americamysis bahia,Mysidae,Mysida,Malacostraca,Arthropoda,Hemimysis lamornae,Mesopodopsis orientalis,Neomysis integer,,Mysidae,TSA,64.4,IND,2.0,
GAUE02.1,Anurida maritima,Neanuridae,Poduromorpha,Collembola,Arthropoda,,,,,Anurida_maritima,TSA,71.9,,,
GCA_016618385.1,Nymphon striatum,Nymphonidae,Pantopoda,Pycnogonida,Arthropoda,Nymphon brevirostre,Nymphon hirtum,,,Nymphonidae,annotated_genome,56.5,IND,3.0,
GIHN01.1,Panulirus argus,Palinuridae,Decapoda,Malacostraca,Arthropoda,Panulirus japonicus,,,,Palinuridae,TSA,55.1,GP,2.0,
GAUH02.1,Panorpa vulgaris,Panorpidae,Mecoptera,Insecta,Arthropoda,Panorpa pryeri,,,,Panorpidae,TSA,59.9,GP,2.0,short
GCF_028537555.1,Battus philenor,Papilionidae,Lepidoptera,Insecta,Arthropoda,Parnassius glacialis,Byasa alcinous alcinous,Luehdorfia japonica,,Papilionidae,annotated_genome,99.4,IND,2.0,
GKOK01.1,Principapillatus hitoyensis,Peripatidae,Euonychophora,Udeonychophora,Onychophora,Eoperipatus weldoni,Epiperipatus biolleyi,,,Peripatidae,TSA,83.7,IND,3.0,
GCYQ01.1,Phlaeothripidae sp. AD-2014,Phlaeothripidae,Thysanoptera,Insecta,Arthropoda,Bactrothrips brevitubus,Haplothrips verbasci,,,Phlaeothripidae,TSA,62.4,GP,,
GERZ01.1,Hanseniella nivea,Scutigerellidae,Symphyla,Symphyla,Arthropoda,Hanseniella agilis,,,,Scutigerellidae,TSA,71.8,IND,3.0,
GCTV01.1,Sialis fuliginosa,Sialidae,Megaloptera,Insecta,Arthropoda,Sialis mitsuhashii okamoto,,,,Sialidae,TSA,66.7,IND,2.0,
GGQP01.1,Diaphanosoma celebensis,Sididae,Diplostraca,Branchiopoda,Arthropoda,Penilia avirostris,,,,Sididae,TSA,65.7,IND,3.0,
GDRS01.1,Stenopsychodes sp. AD-2015,Stenopsychidae,Trichoptera,Insecta,Arthropoda,Stenopsyche griseipennis,,,,Stenopsychidae,TSA,54.2,IND,3.0,
GCA_006783055.1,Trinorchestia longiramus,Talitridae,Amphipoda,Malacostraca,Arthropoda,Orchestia cavimana,,,,Talitridae,annotated_genome,79.6,GP,1.0,
GAWW02.1,Tenthredo koehleri,Tenthredinidae,Hymenoptera,Insecta,Arthropoda,Nematus ribesii,,,,Tenthredinidae,TSA,79.9,IND,3.0,
GCF_040414725.1,Anabrus simplex,Tettigoniidae,Orthoptera,Insecta,Arthropoda,Conocephalus brevipennis,,,,Tettigoniidae,annotated_genome,96.3,IND,3.0,
GATD02.1,Pogonognathellus sp. AD-2013,Tomoceridae,Entomobryomorpha,Collembola,Arthropoda,Tomocerus cuspidatus,Tomocerus ishibashii yosii,,,Tomoceridae,TSA,67.9,IND,2.0,
GDPF01.1,Megasternum obscurum,Hydrophilidae,Coleoptera,Insecta,Arthropoda,Hydrophilus piceus,,,,Hydrophilidae,TSA,68.4,IND,3.0,short
GIHV01.1,Wyochernes asiaticus,Chernetidae,Pseudoscorpiones,Arachnida,Arthropoda,Pselaphochernes scorpioides,,,,Pseudoscorpiones,TSA,61.5,IND,3.0,
GJIT01.1,Euphrynichus bacillifer,Phrynichidae,Amblypygi,Arachnida,Arthropoda,Heterophrynus pumilio,Phrynus marginemaculatus,,,Amblypygi,TSA,51.5,IND,3.0,
GCF_000648695.1,Onthophagus taurus,Scarabaeidae,Coleoptera,Insecta,Arthropoda,Phyllophaga fervida,,,,Scarabaeidae,annotated_genome,96.4,IND,2.0,short
GCF_019649055.1,Paramacrobiotus metropolitanus,Macrobiotidae,Parachela,Eutardigrada,Tardigrada,Hypsibius dujardini,Thulinia stephaniae,,,Parachela,annotated_genome,75.1,IND,2.0,
